Comment,Designator,Footprint,LCSC Part #（optional）,,,
SW_SPST,SW41,SW-SMD-4_5.2x5.2x3.7P,C92584,,,
SR05,D2,SOT-143,C384891,,,
BAV70,"D8,D22,D21,D20,D19,D18,D17,D16,D15,D14,D13,D12,D11,D10,D9,D7,D6,D5",SOT-23,C68978,,,
4.7n,C4,C_0805_2012Metric,C1744,,,
SW_SPDT,SW37,SMD-7PIN,C109335,,,
HRO-TYPE-C-31-M-12,USB1,TYPE-C-31_L8.94_W7.3,C165948,,,
TP4054,U2,SOT-23-5,C32574,,,
AP2112K-3.3,U1,SOT-23-5,C51118,,,
1k,R9,R_0805_2012Metric,C17513,,,
2M,R8,R_0805_2012Metric,C26112,,,
806k,R7,R_0805_2012Metric,C63494,,,
1M,R6,R_0805_2012Metric,C17514,,,
5.1k,"R5,R1",R_0805_2012Metric,C27834,,,
10k,"R3,R2",R_0805_2012Metric,C17414,,,
AO3401A,Q1,SOT-23,C306862,,,
500ma,F1,Fuse_1206_3216Metric,C70076,,,
LED_Small,D4,D_0805_2012Metric,C2296,,,
1N5819,D1,D_SOD-123,C169540,,,
1uF,"C3,C2",C_0805_2012Metric,C28323,,,
4.7uF,C1,C_0805_2012Metric,C1779,,,
Battery_Cell,BT1,CONN-TH_A2001WR-2P,C225207,,,
